text,label
Win a free iPhone now,spam
Congratulations you won lottery,spam
Claim your free prize today,spam
Limited time offer buy now,spam
You have been selected for a reward,spam
Exclusive deal just for you click now,spam
Earn money quickly from home,spam
You won a free vacation claim now,spam
Cheap loans available instantly apply now,spam
Urgent you have won a prize call now,spam
Special promotion buy one get one free,spam
Get rich quickly with this secret method,spam
Act now to claim your reward,spam
Congratulations claim your free gift card,spam
You are selected for a lucky draw,spam
Winner claim your cash prize now,spam
Limited time offer click the link now,spam
Free entry in a contest click here,spam
Get free coupons today,spam
Exclusive offer only for you,spam
Let’s meet tomorrow for lunch,ham
Please send the assignment today,ham
Are you coming to the class today,ham
Project meeting at 5 pm today,ham
Call me when you reach home,ham
Can we discuss the project later,ham
Please check the document I shared,ham
Let me know when you are free,ham
We have a meeting tomorrow morning,ham
Did you finish the report,ham
Let's work on the project tonight,ham
I will call you later,ham
Can you help me with this problem,ham
Please review the code I sent,ham
Are we meeting today,ham
Don't forget the meeting at 4 pm,ham
Send the files when you finish,ham
Thank you for your help,ham
See you in class tomorrow,ham
Let's start the assignment now,ham
